roi	profile	metric	value	aggregation
decode1	disabled	dram_to_l2_total	31979218	sum_over_kernel_records
decode1	disabled	icnt_to_l2_total	424784333	sum_over_kernel_records
decode1	disabled	l2_to_dram_total	499316933	sum_over_kernel_records
decode1	disabled	l2_to_icnt_total	28777499	sum_over_kernel_records
decode1	disabled	samples	350036832	sum_over_kernel_records
decode1	generic	dram_to_l2_total	32027016	sum_over_kernel_records
decode1	generic	icnt_to_l2_total	143790007	sum_over_kernel_records
decode1	generic	l2_to_dram_total	5858587	sum_over_kernel_records
decode1	generic	l2_to_icnt_total	17006881	sum_over_kernel_records
decode1	generic	samples	1050002400	sum_over_kernel_records
decode1	ideal	dram_to_l2_total	31979218	sum_over_kernel_records
decode1	ideal	icnt_to_l2_total	424784333	sum_over_kernel_records
decode1	ideal	l2_to_dram_total	499316933	sum_over_kernel_records
decode1	ideal	l2_to_icnt_total	28777499	sum_over_kernel_records
decode1	ideal	samples	350036832	sum_over_kernel_records
decode1	paper	dram_to_l2_total	32079118	sum_over_kernel_records
decode1	paper	icnt_to_l2_total	1631561768	sum_over_kernel_records
decode1	paper	l2_to_dram_total	1920034911	sum_over_kernel_records
decode1	paper	l2_to_icnt_total	6242538	sum_over_kernel_records
decode1	paper	samples	826524336	sum_over_kernel_records
prefill	disabled	dram_to_l2_total	91423954	sum_over_kernel_records
prefill	disabled	icnt_to_l2_total	5093770380	sum_over_kernel_records
prefill	disabled	l2_to_dram_total	4707286729	sum_over_kernel_records
prefill	disabled	l2_to_icnt_total	1021784223	sum_over_kernel_records
prefill	disabled	samples	1162519200	sum_over_kernel_records
prefill	generic	dram_to_l2_total	91874040	sum_over_kernel_records
prefill	generic	icnt_to_l2_total	3980209396	sum_over_kernel_records
prefill	generic	l2_to_dram_total	3095609481	sum_over_kernel_records
prefill	generic	l2_to_icnt_total	770587037	sum_over_kernel_records
prefill	generic	samples	1471254432	sum_over_kernel_records
prefill	ideal	dram_to_l2_total	91423954	sum_over_kernel_records
prefill	ideal	icnt_to_l2_total	5093770380	sum_over_kernel_records
prefill	ideal	l2_to_dram_total	4707286729	sum_over_kernel_records
prefill	ideal	l2_to_icnt_total	1021784223	sum_over_kernel_records
prefill	ideal	samples	1162519200	sum_over_kernel_records
prefill	paper	dram_to_l2_total	111532990	sum_over_kernel_records
prefill	paper	icnt_to_l2_total	6067086067	sum_over_kernel_records
prefill	paper	l2_to_dram_total	6033532620	sum_over_kernel_records
prefill	paper	l2_to_icnt_total	321555681	sum_over_kernel_records
prefill	paper	samples	1492152024	sum_over_kernel_records
decode1	disabled	dram_to_l2_hwm	1	max_over_kernel_high_water
decode1	disabled	icnt_to_l2_hwm	64	max_over_kernel_high_water
decode1	disabled	l2_to_dram_hwm	64	max_over_kernel_high_water
decode1	disabled	l2_to_icnt_hwm	63	max_over_kernel_high_water
decode1	generic	dram_to_l2_hwm	1	max_over_kernel_high_water
decode1	generic	icnt_to_l2_hwm	64	max_over_kernel_high_water
decode1	generic	l2_to_dram_hwm	64	max_over_kernel_high_water
decode1	generic	l2_to_icnt_hwm	63	max_over_kernel_high_water
decode1	ideal	dram_to_l2_hwm	1	max_over_kernel_high_water
decode1	ideal	icnt_to_l2_hwm	64	max_over_kernel_high_water
decode1	ideal	l2_to_dram_hwm	64	max_over_kernel_high_water
decode1	ideal	l2_to_icnt_hwm	63	max_over_kernel_high_water
decode1	paper	dram_to_l2_hwm	1	max_over_kernel_high_water
decode1	paper	icnt_to_l2_hwm	64	max_over_kernel_high_water
decode1	paper	l2_to_dram_hwm	64	max_over_kernel_high_water
decode1	paper	l2_to_icnt_hwm	63	max_over_kernel_high_water
prefill	disabled	dram_to_l2_hwm	1	max_over_kernel_high_water
prefill	disabled	icnt_to_l2_hwm	64	max_over_kernel_high_water
prefill	disabled	l2_to_dram_hwm	64	max_over_kernel_high_water
prefill	disabled	l2_to_icnt_hwm	64	max_over_kernel_high_water
prefill	generic	dram_to_l2_hwm	1	max_over_kernel_high_water
prefill	generic	icnt_to_l2_hwm	64	max_over_kernel_high_water
prefill	generic	l2_to_dram_hwm	64	max_over_kernel_high_water
prefill	generic	l2_to_icnt_hwm	63	max_over_kernel_high_water
prefill	ideal	dram_to_l2_hwm	1	max_over_kernel_high_water
prefill	ideal	icnt_to_l2_hwm	64	max_over_kernel_high_water
prefill	ideal	l2_to_dram_hwm	64	max_over_kernel_high_water
prefill	ideal	l2_to_icnt_hwm	64	max_over_kernel_high_water
prefill	paper	dram_to_l2_hwm	1	max_over_kernel_high_water
prefill	paper	icnt_to_l2_hwm	64	max_over_kernel_high_water
prefill	paper	l2_to_dram_hwm	64	max_over_kernel_high_water
prefill	paper	l2_to_icnt_hwm	64	max_over_kernel_high_water
