source	roi	profile	scope	metric	value	provenance
translation_runtime_counter	decode1	disabled	GLOBAL_OR_OBJECT	vm_translation_stall_cycles	0	simulator_runtime_counter
translation_runtime_counter	decode1	ideal	GLOBAL_OR_OBJECT	vm_translation_stall_cycles	0	simulator_runtime_counter
translation_runtime_counter	decode1	generic	GLOBAL_OR_OBJECT	vm_l1_tlb_lookup_latency_cycles	10	simulator_runtime_counter
translation_runtime_counter	decode1	generic	GLOBAL_OR_OBJECT	vm_l1_tlb_port_stalls	0	simulator_runtime_counter
translation_runtime_counter	decode1	generic	GLOBAL_OR_OBJECT	vm_l2_tlb_lookup_latency_cycles	80	simulator_runtime_counter
translation_runtime_counter	decode1	generic	GLOBAL_OR_OBJECT	vm_l2_tlb_port_stalls	632037	simulator_runtime_counter
translation_runtime_counter	decode1	generic	GLOBAL_OR_OBJECT	vm_pte_memory_wait_cycles_max	2839	simulator_runtime_counter
translation_runtime_counter	decode1	generic	GLOBAL_OR_OBJECT	vm_pte_memory_wait_cycles_total	4835001	simulator_runtime_counter
translation_runtime_counter	decode1	generic	GLOBAL_OR_OBJECT	vm_pwc_lookup_latency_cycles	1	simulator_runtime_counter
translation_runtime_counter	decode1	generic	GLOBAL_OR_OBJECT	vm_translation_mshr_waiter_depth_max	46	simulator_runtime_counter
translation_runtime_counter	decode1	generic	GLOBAL_OR_OBJECT	vm_translation_mshr_waiter_depth_total	23805	simulator_runtime_counter
translation_runtime_counter	decode1	generic	GLOBAL_OR_OBJECT	vm_translation_pending_waiter_bypasses	9065536	simulator_runtime_counter
translation_runtime_counter	decode1	generic	GLOBAL_OR_OBJECT	vm_translation_requester_latency_cycles_max	2937	simulator_runtime_counter
translation_runtime_counter	decode1	generic	GLOBAL_OR_OBJECT	vm_translation_requester_latency_cycles_total	773733827	simulator_runtime_counter
translation_runtime_counter	decode1	generic	GLOBAL_OR_OBJECT	vm_translation_requester_mshr_wait_cycles_max	2842	simulator_runtime_counter
translation_runtime_counter	decode1	generic	GLOBAL_OR_OBJECT	vm_translation_requester_mshr_wait_cycles_total	9065536	simulator_runtime_counter
translation_runtime_counter	decode1	generic	GLOBAL_OR_OBJECT	vm_translation_stall_cycles	773733827	simulator_runtime_counter
translation_runtime_counter	decode1	generic	GLOBAL_OR_OBJECT	vm_translation_waiter_registrations	23805	simulator_runtime_counter
translation_runtime_counter	decode1	generic	GLOBAL_OR_OBJECT	vm_translation_waiter_wakeups	23805	simulator_runtime_counter
translation_runtime_counter	decode1	paper	GLOBAL_OR_OBJECT	vm_l1_tlb_lookup_latency_cycles	10	simulator_runtime_counter
translation_runtime_counter	decode1	paper	GLOBAL_OR_OBJECT	vm_l1_tlb_port_stalls	0	simulator_runtime_counter
translation_runtime_counter	decode1	paper	GLOBAL_OR_OBJECT	vm_l2_tlb_lookup_latency_cycles	80	simulator_runtime_counter
translation_runtime_counter	decode1	paper	GLOBAL_OR_OBJECT	vm_l2_tlb_port_stalls	313232	simulator_runtime_counter
translation_runtime_counter	decode1	paper	GLOBAL_OR_OBJECT	vm_pte_memory_wait_cycles_max	7210	simulator_runtime_counter
translation_runtime_counter	decode1	paper	GLOBAL_OR_OBJECT	vm_pte_memory_wait_cycles_total	6560190	simulator_runtime_counter
translation_runtime_counter	decode1	paper	GLOBAL_OR_OBJECT	vm_pwc_lookup_latency_cycles	1	simulator_runtime_counter
translation_runtime_counter	decode1	paper	GLOBAL_OR_OBJECT	vm_translation_mshr_waiter_depth_max	35	simulator_runtime_counter
translation_runtime_counter	decode1	paper	GLOBAL_OR_OBJECT	vm_translation_mshr_waiter_depth_total	22408	simulator_runtime_counter
translation_runtime_counter	decode1	paper	GLOBAL_OR_OBJECT	vm_translation_pending_waiter_bypasses	9552488	simulator_runtime_counter
translation_runtime_counter	decode1	paper	GLOBAL_OR_OBJECT	vm_translation_requester_latency_cycles_max	10094	simulator_runtime_counter
translation_runtime_counter	decode1	paper	GLOBAL_OR_OBJECT	vm_translation_requester_latency_cycles_total	774521844	simulator_runtime_counter
translation_runtime_counter	decode1	paper	GLOBAL_OR_OBJECT	vm_translation_requester_mshr_wait_cycles_max	10004	simulator_runtime_counter
translation_runtime_counter	decode1	paper	GLOBAL_OR_OBJECT	vm_translation_requester_mshr_wait_cycles_total	9552488	simulator_runtime_counter
translation_runtime_counter	decode1	paper	GLOBAL_OR_OBJECT	vm_translation_stall_cycles	774521844	simulator_runtime_counter
translation_runtime_counter	decode1	paper	GLOBAL_OR_OBJECT	vm_translation_waiter_registrations	22408	simulator_runtime_counter
translation_runtime_counter	decode1	paper	GLOBAL_OR_OBJECT	vm_translation_waiter_wakeups	22408	simulator_runtime_counter
translation_runtime_counter	prefill	disabled	GLOBAL_OR_OBJECT	vm_translation_stall_cycles	0	simulator_runtime_counter
