roi	profile	object_class	metric	value	provenance
decode1	disabled	WEIGHT	translation_requester_share	NA	derived_from_runtime_counters
decode1	disabled	KV_CACHE	translation_requester_share	NA	derived_from_runtime_counters
decode1	disabled	UNKNOWN	translation_requester_share	NA	derived_from_runtime_counters
decode1	ideal	WEIGHT	translation_requester_share	NA	derived_from_runtime_counters
decode1	ideal	KV_CACHE	translation_requester_share	NA	derived_from_runtime_counters
decode1	ideal	UNKNOWN	translation_requester_share	NA	derived_from_runtime_counters
decode1	generic	KV_CACHE	completed	1769354	simulator_runtime_counter
decode1	generic	KV_CACHE	l1_hits	1758477	simulator_runtime_counter
decode1	generic	KV_CACHE	l1_lookup_launches	1769354	simulator_runtime_counter
decode1	generic	KV_CACHE	l1_misses	10877	simulator_runtime_counter
decode1	generic	KV_CACHE	l2_fills	109	simulator_runtime_counter
decode1	generic	KV_CACHE	l2_hits	8656	simulator_runtime_counter
decode1	generic	KV_CACHE	l2_lookup_launches	10877	simulator_runtime_counter
decode1	generic	KV_CACHE	l2_misses	2221	simulator_runtime_counter
decode1	generic	KV_CACHE	mshr_allocations	111	simulator_runtime_counter
decode1	generic	KV_CACHE	mshr_merges	2110	simulator_runtime_counter
decode1	generic	KV_CACHE	pte_dram_responses	53	simulator_runtime_counter
decode1	generic	KV_CACHE	pte_l2_only_responses	60	simulator_runtime_counter
decode1	generic	KV_CACHE	pte_memory_wait_cycles_max	535	simulator_runtime_counter
decode1	generic	KV_CACHE	pte_memory_wait_cycles_total	37647	simulator_runtime_counter
decode1	generic	KV_CACHE	pte_requests	113	simulator_runtime_counter
decode1	generic	KV_CACHE	pwc_accesses	333	simulator_runtime_counter
decode1	generic	KV_CACHE	pwc_hits	331	simulator_runtime_counter
decode1	generic	KV_CACHE	pwc_misses	2	simulator_runtime_counter
decode1	generic	KV_CACHE	requester_latency_cycles_max	1037	simulator_runtime_counter
decode1	generic	KV_CACHE	requester_latency_cycles_total	19068056	simulator_runtime_counter
decode1	generic	KV_CACHE	requester_mshr_wait_cycles_max	947	simulator_runtime_counter
decode1	generic	KV_CACHE	requester_mshr_wait_cycles_total	488549	simulator_runtime_counter
decode1	generic	KV_CACHE	translation_requesters	1769354	simulator_runtime_counter
decode1	generic	KV_CACHE	unique_translation_keys	82	simulator_runtime_counter
decode1	generic	KV_CACHE	walk_starts	111	simulator_runtime_counter
decode1	generic	UNKNOWN	completed	66133118	simulator_runtime_counter
decode1	generic	UNKNOWN	l1_hits	66104634	simulator_runtime_counter
