roi	profile	metric	value	provenance
decode1	disabled	vm_translation_stall_cycles	0	simulator_runtime_counter
decode1	ideal	vm_translation_stall_cycles	0	simulator_runtime_counter
decode1	generic	vm_l1_tlb_accesses	75844615	simulator_runtime_counter
decode1	generic	vm_l1_tlb_evictions	68011	simulator_runtime_counter
decode1	generic	vm_l1_tlb_hits	75775132	simulator_runtime_counter
decode1	generic	vm_l1_tlb_lookup_completions	75844615	simulator_runtime_counter
decode1	generic	vm_l1_tlb_lookup_latency_cycles	10	simulator_runtime_counter
decode1	generic	vm_l1_tlb_lookup_launches	75844615	simulator_runtime_counter
decode1	generic	vm_l1_tlb_lookup_service_cycles	758446150	simulator_runtime_counter
decode1	generic	vm_l1_tlb_misses	69483	simulator_runtime_counter
decode1	generic	vm_l1_tlb_occupancy	1472	simulator_runtime_counter
decode1	generic	vm_l1_tlb_port_stalls	0	simulator_runtime_counter
decode1	generic	vm_l2_tlb_accesses	69483	simulator_runtime_counter
decode1	generic	vm_l2_tlb_evictions	14926	simulator_runtime_counter
decode1	generic	vm_l2_tlb_hits	45678	simulator_runtime_counter
decode1	generic	vm_l2_tlb_lookup_completions	69483	simulator_runtime_counter
decode1	generic	vm_l2_tlb_lookup_latency_cycles	80	simulator_runtime_counter
decode1	generic	vm_l2_tlb_lookup_launches	69483	simulator_runtime_counter
decode1	generic	vm_l2_tlb_lookup_service_cycles	5558640	simulator_runtime_counter
decode1	generic	vm_l2_tlb_misses	23805	simulator_runtime_counter
decode1	generic	vm_l2_tlb_occupancy	768	simulator_runtime_counter
decode1	generic	vm_l2_tlb_port_stalls	632037	simulator_runtime_counter
decode1	generic	vm_object_attribution_conservation_pass	1	simulator_runtime_counter
decode1	generic	vm_object_attribution_enabled	1	simulator_runtime_counter
decode1	generic	vm_pte_dram_responses	4082	simulator_runtime_counter
decode1	generic	vm_pte_l2_only_responses	11716	simulator_runtime_counter
decode1	generic	vm_pte_memory_wait_cycles_max	2839	simulator_runtime_counter
decode1	generic	vm_pte_memory_wait_cycles_total	4835001	simulator_runtime_counter
decode1	generic	vm_pte_requests	15798	simulator_runtime_counter
decode1	generic	vm_pte_response_misassociations	0	simulator_runtime_counter
decode1	generic	vm_pte_responses	15798	simulator_runtime_counter
decode1	generic	vm_pwc_accesses	47082	simulator_runtime_counter
decode1	generic	vm_pwc_entries_configured	128	simulator_runtime_counter
decode1	generic	vm_pwc_evictions	0	simulator_runtime_counter
decode1	generic	vm_pwc_hits	46978	simulator_runtime_counter
decode1	generic	vm_pwc_inserts	42	simulator_runtime_counter
decode1	generic	vm_pwc_level_0_accesses	15694	simulator_runtime_counter
decode1	generic	vm_pwc_level_0_hits	15691	simulator_runtime_counter
decode1	generic	vm_pwc_level_0_misses	3	simulator_runtime_counter
decode1	generic	vm_pwc_level_0_pte_requests_skipped	15691	simulator_runtime_counter
decode1	generic	vm_pwc_level_1_accesses	15694	simulator_runtime_counter
decode1	generic	vm_pwc_level_1_hits	15690	simulator_runtime_counter
decode1	generic	vm_pwc_level_1_misses	4	simulator_runtime_counter
decode1	generic	vm_pwc_level_1_pte_requests_skipped	15690	simulator_runtime_counter
decode1	generic	vm_pwc_level_2_accesses	15694	simulator_runtime_counter
decode1	generic	vm_pwc_level_2_hits	15597	simulator_runtime_counter
decode1	generic	vm_pwc_level_2_misses	97	simulator_runtime_counter
decode1	generic	vm_pwc_level_2_pte_requests_skipped	15597	simulator_runtime_counter
decode1	generic	vm_pwc_level_3_accesses	0	simulator_runtime_counter
decode1	generic	vm_pwc_level_3_hits	0	simulator_runtime_counter
decode1	generic	vm_pwc_level_3_misses	0	simulator_runtime_counter
decode1	generic	vm_pwc_level_3_pte_requests_skipped	0	simulator_runtime_counter
decode1	generic	vm_pwc_lookup_latency_cycles	1	simulator_runtime_counter
decode1	generic	vm_pwc_misses	104	simulator_runtime_counter
decode1	generic	vm_pwc_mode	1	simulator_runtime_counter
decode1	generic	vm_pwc_occupancy	42	simulator_runtime_counter
decode1	generic	vm_pwc_occupancy_high_watermark	42	simulator_runtime_counter
decode1	generic	vm_pwc_service_cycles	47082	simulator_runtime_counter
decode1	generic	vm_translation_lookup_inflight_bypasses	688823676	simulator_runtime_counter
decode1	generic	vm_translation_lookup_requests	75844615	simulator_runtime_counter
decode1	generic	vm_translation_mshr_active	0	simulator_runtime_counter
decode1	generic	vm_translation_mshr_allocations	15694	simulator_runtime_counter
decode1	generic	vm_translation_mshr_entries_completed	15694	simulator_runtime_counter
decode1	generic	vm_translation_mshr_full_events	2301691	simulator_runtime_counter
decode1	generic	vm_translation_mshr_lifetime_cycles_max	2842	simulator_runtime_counter
decode1	generic	vm_translation_mshr_lifetime_cycles_total	6503060	simulator_runtime_counter
decode1	generic	vm_translation_mshr_merges	8111	simulator_runtime_counter
decode1	generic	vm_translation_mshr_occupancy_high_watermark	32	simulator_runtime_counter
decode1	generic	vm_translation_mshr_waiter_depth_max	46	simulator_runtime_counter
decode1	generic	vm_translation_mshr_waiter_depth_total	23805	simulator_runtime_counter
decode1	generic	vm_translation_page_size_bytes	65536	simulator_runtime_counter
decode1	generic	vm_translation_pending_waiter_bypasses	9065536	simulator_runtime_counter
decode1	generic	vm_translation_pwq_full_events	0	simulator_runtime_counter
decode1	generic	vm_translation_pwq_occupancy	0	simulator_runtime_counter
decode1	generic	vm_translation_requester_completions	75844615	simulator_runtime_counter
decode1	generic	vm_translation_requester_l1_queue_cycles_max	0	simulator_runtime_counter
decode1	generic	vm_translation_requester_l1_queue_cycles_total	0	simulator_runtime_counter
decode1	generic	vm_translation_requester_l1_service_cycles_max	10	simulator_runtime_counter
decode1	generic	vm_translation_requester_l1_service_cycles_total	758446150	simulator_runtime_counter
decode1	generic	vm_translation_requester_l2_queue_cycles_max	45	simulator_runtime_counter
decode1	generic	vm_translation_requester_l2_queue_cycles_total	125098	simulator_runtime_counter
decode1	generic	vm_translation_requester_l2_service_cycles_max	80	simulator_runtime_counter
decode1	generic	vm_translation_requester_l2_service_cycles_total	5558640	simulator_runtime_counter
decode1	generic	vm_translation_requester_latency_cycles_max	2937	simulator_runtime_counter
decode1	generic	vm_translation_requester_latency_cycles_total	773733827	simulator_runtime_counter
decode1	generic	vm_translation_requester_mshr_wait_cycles_max	2842	simulator_runtime_counter
decode1	generic	vm_translation_requester_mshr_wait_cycles_total	9065536	simulator_runtime_counter
decode1	generic	vm_translation_stall_cycles	773733827	simulator_runtime_counter
decode1	generic	vm_translation_waiter_registrations	23805	simulator_runtime_counter
decode1	generic	vm_translation_waiter_wakeups	23805	simulator_runtime_counter
decode1	generic	vm_translation_walk_completions	15694	simulator_runtime_counter
decode1	generic	vm_translation_walk_starts	15694	simulator_runtime_counter
decode1	generic	vm_translation_walkers_active	0	simulator_runtime_counter
decode1	paper	vm_l1_tlb_accesses	76022343	simulator_runtime_counter
decode1	paper	vm_l1_tlb_evictions	56806	simulator_runtime_counter
decode1	paper	vm_l1_tlb_hits	75964417	simulator_runtime_counter
