terminal_arm	metric	value
decode1-disabled	gpu_tot_ipc	377.4279
decode1-disabled	gpu_tot_sim_cycle	10938651
decode1-generic	gpu_tot_ipc	125.8222
decode1-generic	gpu_tot_sim_cycle	32812575
decode1-generic	vm_l1_tlb_misses	69483
decode1-generic	vm_l2_tlb_misses	23805
decode1-generic	vm_pte_requests	15798
decode1-generic	vm_translation_lookup_requests	75844615
decode1-ideal	gpu_tot_ipc	377.4279
decode1-ideal	gpu_tot_sim_cycle	10938651
decode1-paper	gpu_tot_ipc	119.8818
decode1-paper	gpu_tot_sim_cycle	34438514
decode1-paper	vm_l1_tlb_misses	57926
decode1-paper	vm_l2_tlb_misses	22408
decode1-paper	vm_pte_requests	15786
decode1-paper	vm_translation_lookup_requests	76022343
prefill-disabled	gpu_tot_ipc	507.9348
prefill-disabled	gpu_tot_sim_cycle	36328725
prefill-generic	gpu_tot_ipc	401.3472
prefill-generic	gpu_tot_sim_cycle	45976701
prefill-generic	vm_l1_tlb_misses	1246241
prefill-generic	vm_l2_tlb_misses	56467
prefill-generic	vm_pte_requests	22874
prefill-generic	vm_translation_lookup_requests	93933006
prefill-ideal	gpu_tot_ipc	507.9348
prefill-ideal	gpu_tot_sim_cycle	36328725
