evidence_label	baseline_arm	target_arm	metric	baseline_value	target_value	absolute_delta	relative_delta_pct	scope_guard
SPECULATIVE_DIAGNOSTIC	E01-generic	E01-pwc32	gpu_tot_sim_cycle	17390	17390	0.000000	0.000000	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E01-generic	E01-pwc32	gpu_tot_ipc	116.1201	116.1201	0.000000	0.000000	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E01-generic	E01-pwc32	vm_l1_tlb_misses	32	32	0.000000	0.000000	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E01-generic	E01-pwc32	vm_l2_tlb_misses	32	32	0.000000	0.000000	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E01-generic	E01-pwc32	vm_translation_mshr_full_events	0	0	0.000000	NOT_APPLICABLE	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E01-generic	E01-pwc32	vm_translation_pwq_full_events	0	0	0.000000	NOT_APPLICABLE	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E01-generic	E01-pwc32	vm_translation_walk_starts	2	2	0.000000	0.000000	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E01-generic	E01-pwc32	vm_pwc_hits	1	1	0.000000	0.000000	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E01-generic	E01-pwc32	vm_pwc_misses	5	5	0.000000	0.000000	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E01-generic	E01-pwc32	vm_pte_requests	7	7	0.000000	0.000000	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E01-generic	E01-pwc32	vm_pte_dram_responses	7	7	0.000000	0.000000	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E02-generic	E02-pwc512	gpu_tot_sim_cycle	17390	17390	0.000000	0.000000	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E02-generic	E02-pwc512	gpu_tot_ipc	116.1201	116.1201	0.000000	0.000000	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E02-generic	E02-pwc512	vm_l1_tlb_misses	32	32	0.000000	0.000000	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E02-generic	E02-pwc512	vm_l2_tlb_misses	32	32	0.000000	0.000000	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E02-generic	E02-pwc512	vm_translation_mshr_full_events	0	0	0.000000	NOT_APPLICABLE	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E02-generic	E02-pwc512	vm_translation_pwq_full_events	0	0	0.000000	NOT_APPLICABLE	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E02-generic	E02-pwc512	vm_translation_walk_starts	2	2	0.000000	0.000000	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E02-generic	E02-pwc512	vm_pwc_hits	1	1	0.000000	0.000000	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E02-generic	E02-pwc512	vm_pwc_misses	5	5	0.000000	0.000000	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E02-generic	E02-pwc512	vm_pte_requests	7	7	0.000000	0.000000	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E02-generic	E02-pwc512	vm_pte_dram_responses	7	7	0.000000	0.000000	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E03-generic	E03-pwcideal	gpu_tot_sim_cycle	17390	17390	0.000000	0.000000	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E03-generic	E03-pwcideal	gpu_tot_ipc	116.1201	116.1201	0.000000	0.000000	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E03-generic	E03-pwcideal	vm_l1_tlb_misses	32	32	0.000000	0.000000	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E03-generic	E03-pwcideal	vm_l2_tlb_misses	32	32	0.000000	0.000000	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E03-generic	E03-pwcideal	vm_translation_mshr_full_events	0	0	0.000000	NOT_APPLICABLE	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E03-generic	E03-pwcideal	vm_translation_pwq_full_events	0	0	0.000000	NOT_APPLICABLE	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E03-generic	E03-pwcideal	vm_translation_walk_starts	2	2	0.000000	0.000000	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E03-generic	E03-pwcideal	vm_pwc_hits	1	1	0.000000	0.000000	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E03-generic	E03-pwcideal	vm_pwc_misses	5	5	0.000000	0.000000	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E03-generic	E03-pwcideal	vm_pte_requests	7	7	0.000000	0.000000	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E03-generic	E03-pwcideal	vm_pte_dram_responses	7	7	0.000000	0.000000	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E04-generic64k	E04-page2mb	gpu_tot_sim_cycle	17390	17390	0.000000	0.000000	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E04-generic64k	E04-page2mb	gpu_tot_ipc	116.1201	116.1201	0.000000	0.000000	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E04-generic64k	E04-page2mb	vm_l1_tlb_misses	32	32	0.000000	0.000000	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E04-generic64k	E04-page2mb	vm_l2_tlb_misses	32	32	0.000000	0.000000	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E04-generic64k	E04-page2mb	vm_translation_mshr_full_events	0	0	0.000000	NOT_APPLICABLE	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E04-generic64k	E04-page2mb	vm_translation_pwq_full_events	0	0	0.000000	NOT_APPLICABLE	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E04-generic64k	E04-page2mb	vm_translation_walk_starts	2	2	0.000000	0.000000	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E04-generic64k	E04-page2mb	vm_pwc_hits	1	1	0.000000	0.000000	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E04-generic64k	E04-page2mb	vm_pwc_misses	5	5	0.000000	0.000000	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E04-generic64k	E04-page2mb	vm_pte_requests	7	7	0.000000	0.000000	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E04-generic64k	E04-page2mb	vm_pte_dram_responses	7	7	0.000000	0.000000	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E05-generic	E05-disabled	gpu_tot_sim_cycle	17390	13733	-3657.000000	-21.029327	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E05-generic	E05-disabled	gpu_tot_ipc	116.1201	147.0420	30.921900	26.629240	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E05-generic	E05-disabled	vm_l1_tlb_misses	32	NOT_EMITTED	NOT_APPLICABLE	NOT_APPLICABLE	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E05-generic	E05-disabled	vm_l2_tlb_misses	32	NOT_EMITTED	NOT_APPLICABLE	NOT_APPLICABLE	single-kernel smoke only; performance is interpreted jointly with translation pressure
SPECULATIVE_DIAGNOSTIC	E05-generic	E05-disabled	vm_translation_mshr_full_events	0	NOT_EMITTED	NOT_APPLICABLE	NOT_APPLICABLE	single-kernel smoke only; performance is interpreted jointly with translation pressure
