# logical-name	kernelslist.g
cudasdk/BlackScholes	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/BlackScholes/NO_ARGS/traces/kernelslist.g
cudasdk/convolutionSeparable	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/convolutionSeparable/__size_3072/traces/kernelslist.g
cudasdk/fastWalshTransform_11_19	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/fastWalshTransform/_logK_11__logD_19/traces/kernelslist.g
cudasdk/fastWalshTransform_7_21	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/fastWalshTransform/_logK_7__logD_21/traces/kernelslist.g
cudasdk/scalarProd_8192	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/scalarProd/__size_8192/traces/kernelslist.g
cudasdk/scalarProd_13920	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/scalarProd/__size_13920/traces/kernelslist.g
cudasdk/scan	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/scan/NO_ARGS/traces/kernelslist.g
cudasdk/sortingNetworks	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/sortingNetworks/NO_ARGS/traces/kernelslist.g
cudasdk/transpose	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/transpose/dimX512_dimY512/traces/kernelslist.g
cudasdk/vectorAdd_4000000	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/vectorAdd/__size_4000000/traces/kernelslist.g
cudasdk/vectorAdd_6000000	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/cudasdk/9.1/vectorAdd/__size_6000000/traces/kernelslist.g
ubench/atomic_add_bw	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/ubench/9.1/atomic_add_bw/NO_ARGS/traces/kernelslist.g
ubench/atomic_add_bw_conflict	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/ubench/9.1/atomic_add_bw_conflict/NO_ARGS/traces/kernelslist.g
ubench/l2_bw_32f	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/ubench/9.1/l2_bw_32f/NO_ARGS/traces/kernelslist.g
ubench/l2_bw_64f	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/ubench/9.1/l2_bw_64f/NO_ARGS/traces/kernelslist.g
ubench/mem_bw	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/ubench/9.1/mem_bw/NO_ARGS/traces/kernelslist.g
ubench/mem_lat	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/ubench/9.1/mem_lat/NO_ARGS/traces/kernelslist.g
rodinia/dwt2d	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/dwt2d-rodinia-3.1/__data_rgb_bmp__d_1024x1024__f__5__l_3/traces/kernelslist.g
rodinia/hotspot1	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/hotspot-rodinia-3.1/1024_2_2___data_temp_1024___data_power_1024_output_out/traces/kernelslist.g
rodinia/lud	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/lud-rodinia-3.1/_i___data_512_dat/traces/kernelslist.g
rodinia/bfs	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/bfs-rodinia-3.1/__data_graph65536_txt/traces/kernelslist.g
parboil/bfs	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/parboil.current.small8.stage/parboil/11.0/parboil-bfs/_i___data_NY_input_graph_input_dat__o_bfs_NY_out/traces/kernelslist.g
parboil/cutcp	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/parboil.current.small8.stage/parboil/11.0/parboil-cutcp/_i___data_small_input_watbox_sl40_pqr__o_lattice_dat/traces/kernelslist.g
parboil/histo	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/parboil.current.small8.stage/parboil/11.0/parboil-histo/_i___data_default_input_img_bin__o_ref_bmp____20_4/traces/kernelslist.g
parboil/mri-q	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/parboil.current.small8.stage/parboil/11.0/parboil-mri-q/_i___data_small_input_32_32_32_dataset_bin__o_32_32_32_dataset_out/traces/kernelslist.g
parboil/sad	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/parboil.current.small8.stage/parboil/11.0/parboil-sad/_i___data_default_input_reference_bin___data_default_input_frame_bin__o_out_bin/traces/kernelslist.g
parboil/spmv	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/parboil.current.small8.stage/parboil/11.0/parboil-spmv/_i___data_large_input_Dubcova3_mtx_bin___data_large_input_vector_bin__o_Dubcova3_mtx_out/traces/kernelslist.g
parboil/stencil	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/decoupled-l2-extract/parboil.current.small8.stage/parboil/11.0/parboil-stencil/_i___data_small_input_128x128x32_bin__o_128x128x32_out____128_128_32_100/traces/kernelslist.g
polybench/gesummv	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/c2p-polybench-full-20260821/polybench/11.0/polybench-gesummv/NO_ARGS/traces/kernelslist.g
polybench/3mm	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/c2p-polybench-full-20260821/polybench/11.0/polybench-3mm/NO_ARGS/traces/kernelslist.g
tls/shoc_fft	/workspace/worktrees/accel-sim-decoupled-l2/hw_run/tls-c2p-v100-20260822/fft-sim-validation-repaired.TA4dKW/tls-shoc-fft/traces/kernelslist.g
c2p/ispass_bfs	/workspace/worktrees/accel-sim-c2p-cache/hw_run/c2p-v100-baseline-compat-smoke-v2-20260822/stage/c2p-ispass-bfs/c2p-ispass-bfs/traces/kernelslist.g
c2p/ispass_ray	/workspace/worktrees/accel-sim-c2p-cache/hw_run/c2p-v100-baseline-compat-smoke-v2-20260822/stage/c2p-ispass-ray/c2p-ispass-ray/traces/kernelslist.g
c2p/ispass_lib	/workspace/worktrees/accel-sim-c2p-cache/hw_run/c2p-v100-baseline-compat-smoke-v2-20260822/stage/c2p-ispass-lib/c2p-ispass-lib/traces/kernelslist.g
c2p/fw_block	/workspace/worktrees/accel-sim-c2p-cache/hw_run/c2p-v100-baseline-compat-smoke-v2-20260822/stage/c2p-pannotia-fw-block/c2p-pannotia-fw-block/traces/kernelslist.g
